,Candidate ID,Date of Application,Date of Interview,Date of Job Offer,Date of Offer extension,Date of Joining,Offered band,Offered Salary,Percentage hike offered (CTC),Joining bonus amount,LOB,Joining location,Candidate relocation status,Acceptance status,Notice period,Current CTC,Current gross salary,Current organization,Highest Educational Degree,Total experience,Relevant experience,Year of graduation,Expected CTC,Percentage hike (CTC) expected ,Gender,Candidate source,DOB,Location,Number of precious jobs,Written Test Date,Interview rounds,Date of first Interview,Date of last Interview,Interview types,Interview Types2,First interview duration,Last interaction duration
0,C1,2019-08-28,2020-06-12,2020-06-22,2020-06-29,2020-07-14,B2,1383755.4375,0.19038293726642053,58122.28125,IT,NCR,Yes,Joined,0,1162445.625,1033285,IBM,Diploma,8,7.2,2012,1500000,0.2903829372664205,M,Direct,1991-11-06,Kolkata,2,2020-05-29,4,2020-06-03,2020-06-12,General,Online,40,25
1,C2,2019-11-28,2020-06-08,2020-06-18,2020-06-25,2020-07-10,B4,2976589.7375,0.3323424377159039,111705.13125,Manufacturing,NCR,Yes,Offer Rejected,0,2234102.625,1985869,Mahindra,Diploma,15,13.5,2005,3200000,0.4323424377159039,M,Agency,1984-02-22,Pune,4,2020-05-31,2,2020-06-05,2020-06-08,Managerial,FaceToFace,40,40
2,C3,2019-08-11,2020-05-26,2020-06-05,2020-06-12,2020-07-12,B0,741663.1249999999,0.27134531117753546,29168.4375,IT,Chennai,No,Joined,30,583368.75,518550,Infosys,Diploma,4,3.6,2016,800000,0.37134531117753566,M,Direct,1995-03-27,Chennai,1,2020-05-15,3,2020-05-20,2020-05-26,Technical,Online,45,60
3,C4,2019-08-18,2020-05-15,2020-05-25,2020-06-01,2020-07-31,C6,4079723.525,0.27381304699322667,160138.23750000002,Finance,Hyderabad,No,Offer Rejected,60,3202764.75,2846902,JP Morgun,Diploma,20,18.0,2000,4400000,0.3738130469932267,M,Direct,1979-06-14,Hyderabad,6,2020-05-10,1,2020-05-15,2020-05-15,Technical,Written,40,40
4,C5,2019-09-06,2020-01-25,2020-02-04,2020-02-11,2020-02-26,B5,3340936.2374999993,0.28961928339939064,129531.88125,IT,Mumbai,Yes,Joined,15,2590637.625,2302789,HCL,Diploma,17,15.3,2003,3600000,0.3896192833993909,M,Employee referral,1982-11-26,Hyderabad,5,2020-01-11,4,2020-01-16,2020-01-25,Technical,Online,15,25
5,C6,2019-10-08,2020-02-27,2020-03-08,2020-03-15,2020-04-14,C6,4373291.899999999,0.33859304375985766,163354.05000000002,Finance,Mumbai,Yes,Joined,30,3267081.0,2904072,HSBC,Diploma,20,18.0,2000,4700000,0.4385930437598578,F,Direct,1979-08-19,Bangaluru,6,2020-02-22,1,2020-02-27,2020-02-27,Managerial,Online,40,40
6,C7,2019-07-31,2020-04-29,2020-05-09,2020-05-16,2020-06-30,B3,2706252.0499999993,0.396790030552581,96873.975,IT,Chennai,Yes,Offer Rejected,45,1937479.5,1722204,Accenture,Diploma,12,10.8,2008,2900000,0.4967900305525813,F,Employee referral,1987-05-22,Kolkata,4,2020-04-18,3,2020-04-23,2020-04-29,Technical,FaceToFace,30,60
7,C8,2019-09-13,2020-03-31,2020-04-10,2020-04-17,2020-06-16,B0,556952.1,0.2937962130556891,21523.95,IT,Mumbai,Yes,Offer Rejected,60,430479.0,382648,Accenture,Master,3,2.7,2017,600000,0.3937962130556891,M,Direct,1993-11-27,Chennai,1,2020-03-23,2,2020-03-28,2020-03-31,Managerial,Written,15,60
8,C9,2019-12-24,2020-06-26,2020-07-06,2020-07-13,2020-08-12,B5,2668414.25,0.15223594284190628,115792.875,Manufacturing,Pune,Yes,Offer Rejected,30,2315857.5,2058540,L & T,Master,16,14.4,2004,2900000,0.2522359428419063,M,Employee referral,1980-10-06,Kolkata,5,2020-06-21,1,2020-06-26,2020-06-26,Technical,FaceToFace,30,30
9,C10,2019-10-03,2020-04-04,2020-04-14,2020-04-21,2020-05-06,B4,2683619.9749999996,0.24023461731275778,108190.01250000001,IT,Pune,Yes,Joined,0,2163800.25,1923378,TCS,Diploma,15,13.5,2005,2900000,0.34023461731275795,M,Direct,1984-03-27,Hyderabad,4,2020-03-24,3,2020-03-29,2020-04-04,Technical,FaceToFace,20,30
